"DATE","T10Y3M"
"1997-05-01",1.51428571428571
"1997-06-01",1.42285714285714
"1997-07-01",1.02590909090909
"1997-08-01",1.01904761904762
"1997-09-01",1.12380952380952
"1997-10-01",0.916818181818182
"1997-11-01",0.593888888888889
"1997-12-01",0.504090909090909
"1998-01-01",0.3655
"1998-02-01",0.344736842105263
"1998-03-01",0.485454545454545
"1998-04-01",0.554761904761905
"1998-05-01",0.5125
"1998-06-01",0.372272727272727
"1998-07-01",0.366818181818182
"1998-08-01",0.300952380952381
"1998-09-01",0.0676190476190476
"1998-10-01",0.45952380952381
"1998-11-01",0.296315789473684
"1998-12-01",0.148181818181818
"1999-01-01",0.275789473684211
"1999-02-01",0.443684210526316
"1999-03-01",0.666086956521739
"1999-04-01",0.775454545454546
"1999-05-01",0.9085
"1999-06-01",1.18409090909091
"1999-07-01",1.10619047619048
"1999-08-01",1.06545454545455
"1999-09-01",1.09285714285714
"1999-10-01",1.0885
"1999-11-01",0.8065
"1999-12-01",0.918636363636364
"2000-01-01",1.162
"2000-02-01",0.7925
"2000-03-01",0.392608695652174
"2000-04-01",0.168947368421053
"2000-05-01",0.445909090909091
"2000-06-01",0.235454545454545
"2000-07-01",-0.0885
"2000-08-01",-0.451304347826087
"2000-09-01",-0.376
"2000-10-01",-0.556190476190476
"2000-11-01",-0.639047619047619
"2000-12-01",-0.6965
"2001-01-01",-0.124285714285714
"2001-02-01",0.0936842105263158
"2001-03-01",0.35
"2001-04-01",1.175
"2001-05-01",1.68818181818182
"2001-06-01",1.71904761904762
"2001-07-01",1.64285714285714
"2001-08-01",1.53347826086957
"2001-09-01",2.03941176470588
"2001-10-01",2.36909090909091
"2001-11-01",2.745
"2001-12-01",3.3675
"2002-01-01",3.35095238095238
"2002-02-01",3.15473684210526
"2002-03-01",3.459
"2002-04-01",3.46590909090909
"2002-05-01",3.40409090909091
"2002-06-01",3.1945
"2002-07-01",2.93954545454545
"2002-08-01",2.61
"2002-09-01",2.211
"2002-10-01",2.33090909090909
"2002-11-01",2.79368421052632
"2002-12-01",2.82142857142857
"2003-01-01",2.85952380952381
"2003-02-01",2.71736842105263
"2003-03-01",2.65619047619048
"2003-04-01",2.80619047619048
"2003-05-01",2.48095238095238
"2003-06-01",2.39809523809524
"2003-07-01",3.055
"2003-08-01",3.47619047619048
"2003-09-01",3.31904761904762
"2003-10-01",3.34863636363636
"2003-11-01",3.34777777777778
"2003-12-01",3.35318181818182
"2004-01-01",3.25
"2004-02-01",3.13947368421053
"2004-03-01",2.87304347826087
"2004-04-01",3.38952380952381
"2004-05-01",3.676
"2004-06-01",3.44571428571429
"2004-07-01",3.14047619047619
"2004-08-01",2.77818181818182
"2004-09-01",2.44428571428571
"2004-10-01",2.3025
"2004-11-01",2.0865
"2004-12-01",2.00818181818182
"2005-01-01",1.8505
"2005-02-01",1.58578947368421
"2005-03-01",1.70181818181818
"2005-04-01",1.50428571428571
"2005-05-01",1.24238095238095
"2005-06-01",0.961818181818182
"2005-07-01",0.89
"2005-08-01",0.744347826086956
"2005-09-01",0.704761904761905
"2005-10-01",0.671
"2005-11-01",0.5605
"2005-12-01",0.496190476190476
"2006-01-01",0.08
"2006-02-01",0.0294736842105263
"2006-03-01",0.0960869565217391
"2006-04-01",0.268947368421053
"2006-05-01",0.273636363636364
"2006-06-01",0.188636363636364
"2006-07-01",0.011
"2006-08-01",-0.213913043478261
"2006-09-01",-0.211
"2006-10-01",-0.317142857142857
"2006-11-01",-0.478095238095238
"2006-12-01",-0.4085
"2007-01-01",-0.345714285714286
"2007-02-01",-0.440526315789474
"2007-03-01",-0.515454545454545
"2007-04-01",-0.312857142857143
"2007-05-01",-0.121363636363636
"2007-06-01",0.360952380952381
"2007-07-01",0.0433333333333333
"2007-08-01",0.357826086956522
"2007-09-01",0.527368421052632
"2007-10-01",0.525
"2007-11-01",0.794
"2007-12-01",1.031
"2008-01-01",0.924285714285714
"2008-02-01",1.5635
"2008-03-01",2.2265
"2008-04-01",2.36318181818182
"2008-05-01",2.11571428571429
"2008-06-01",2.20904761904762
"2008-07-01",2.35272727272727
"2008-08-01",2.13285714285714
"2008-09-01",2.53952380952381
"2008-10-01",3.12818181818182
"2008-11-01",3.33277777777778
"2008-12-01",2.38227272727273
"2009-01-01",2.388
"2009-02-01",2.57473684210526
"2009-03-01",2.60363636363636
"2009-04-01",2.76904761904762
"2009-05-01",3.116
"2009-06-01",3.54318181818182
"2009-07-01",3.37863636363636
"2009-08-01",3.4152380952381
"2009-09-01",3.27857142857143
"2009-10-01",3.31333333333333
"2009-11-01",3.35052631578947
"2009-12-01",3.53545454545455
"2010-01-01",3.67157894736842
"2010-02-01",3.58210526315789
"2010-03-01",3.57695652173913
"2010-04-01",3.68454545454545
"2010-05-01",3.26
"2010-06-01",3.08045454545455
"2010-07-01",2.85380952380952
"2010-08-01",2.54363636363636
"2010-09-01",2.49571428571429
"2010-10-01",2.4055
"2010-11-01",2.62
"2010-12-01",3.15
"2011-01-01",3.242
"2011-02-01",3.44421052631579
"2011-03-01",3.31391304347826
"2011-04-01",3.3965
"2011-05-01",3.12761904761905
"2011-06-01",2.965
"2011-07-01",2.9655
"2011-08-01",2.27869565217391
"2011-09-01",1.96142857142857
"2011-10-01",2.133
"2011-11-01",1.9995
"2011-12-01",1.96666666666667
"2012-01-01",1.932
"2012-02-01",1.8755
"2012-03-01",2.08863636363636
"2012-04-01",1.96904761904762
"2012-05-01",1.71363636363636
"2012-06-01",1.53095238095238
"2012-07-01",1.42952380952381
"2012-08-01",1.57565217391304
"2012-09-01",1.61789473684211
"2012-10-01",1.64142857142857
"2012-11-01",1.5605
"2012-12-01",1.649
"2013-01-01",1.84047619047619
"2013-02-01",1.88526315789474
"2013-03-01",1.8705
"2013-04-01",1.69909090909091
"2013-05-01",1.88409090909091
"2013-06-01",2.2495
"2013-07-01",2.54681818181818
"2013-08-01",2.69363636363636
"2013-09-01",2.7935
"2013-10-01",2.56863636363636
"2013-11-01",2.65052631578947
"2013-12-01",2.8352380952381
"2014-01-01",2.8147619047619
"2014-02-01",2.65684210526316
"2014-03-01",2.67095238095238
"2014-04-01",2.67428571428571
"2014-05-01",2.52666666666667
"2014-06-01",2.56285714285714
"2014-07-01",2.51590909090909
"2014-08-01",2.38714285714286
"2014-09-01",2.51428571428571
"2014-10-01",2.28727272727273
"2014-11-01",2.30388888888889
"2014-12-01",2.17818181818182
"2015-01-01",1.854
"2015-02-01",1.95736842105263
